	CFU	mys	unk	poly	pvalue
H2afy	7.108984373	6.802361263	4.399471909	4.200268928	0.008480838
Sirt2	5.145604096	5.884827445	7.772175989	8.658582822	0.045439064
Gm16515	2.409551151	2.279144386	5.135575911	5.129588012	0.014678403
Aprt	7.430853941	7.017710386	4.621711977	4.307617958	0.011017605
Dstyk	1.515717497	2.286677146	4.954159079	4.422549228	0.035527316
Slc26a11	1.823150151	0.97944079	3.753005428	4.384630085	0.043040701
Fam57b	0.167422289	0.474387239	2.799033411	3.120337009	0.007068687
Rsl1d1	5.892446887	5.269897158	2.955727547	2.666456662	0.037569153
Mpst	5.820120232	5.673098443	8.604942343	8.364029569	0.006017496
Wbp2	7.106986854	7.207404845	9.95247918	9.96582468	0.01005883
Bcas3	3.144162238	3.739437697	6.331402474	6.061270734	0.036454357
Gm15800	3.850189339	3.87743016	6.714836215	6.607148301	0.007901839
1300001I01Rik	5.30734473	5.6570054	2.623658541	3.064020563	0.013079919
Usp49	2.591590861	2.2426147	5.257923332	5.137417451	0.023728173
Stx2	2.692980601	3.223108954	5.453708521	5.805828981	0.020772866
Pxmp4	2.519733111	2.769181425	5.682640711	5.046477964	0.046291445
Mybbp1a	7.485740772	7.19769833	4.736339689	4.691182381	0.030919952
Prdx2	5.583275365	5.745764395	8.086475955	7.619508385	0.045253206
Fam63b	2.417579811	2.071347371	4.858756857	5.096637155	0.009150192
Foxo3	4.641494008	5.118384646	7.435945232	7.801598435	0.01446065
Gpr146	3.985482214	3.657582845	6.498119998	6.586257339	0.027547247
Parp1	6.34748141	6.618881733	4.3687474	4.062588025	0.008454866
Klf13	4.289591045	4.882046286	7.551877415	6.868538617	0.029756391
Ucp2	7.261182887	6.702228106	9.084191856	9.788612308	0.035634719
St6galnac4	3.472247302	3.102987277	0.759737909	0.660992488	0.033648992
Psme4	3.370683223	3.33895775	5.967108648	6.063449013	0.005490356
Ehbp1l1	4.883083126	5.078661066	7.735698171	7.5337035	0.002807732
Lyar	6.582577077	7.334246465	4.349018434	4.794810929	0.049193947
Gabarap	7.130642631	6.686262393	8.882285388	9.472530418	0.030344183
Carhsp1	3.229847831	2.928254713	5.97284197	5.460224883	0.023099452
Pink1	4.231601368	3.855810346	6.28653928	6.751276249	0.01617467
Igsf8	4.897177488	4.326429487	2.46409578	1.861518719	0.027722452
Eef1g	5.739272962	5.176167164	3.015113937	2.652176698	0.024475504
2310022B05Rik	3.398604845	3.271480956	5.876917162	6.105150043	0.006944528
Tbc1d17	4.755603329	4.565609361	7.48546708	7.053665277	0.026167293
Ssh1	2.852971629	2.234142595	4.917121414	5.222665477	0.039906501
Fhdc1	0.885247134	1.215610265	3.26373154	3.825836497	0.029262601
